                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5602,                 3.3246,                 1.7945,                0.66445,                0.52917,                0.62145,                 0.2959,                 1.7248,                 2.4145,                 2.1716,             0.00020772,             0.00020772,             0.00020772
                      2,                 1.4954,                 2.2411,                 1.6892,                0.76569,                0.70935,                0.75039,                0.36643,                 1.6692,                  1.907,                 2.0063,             0.00041194,             0.00041194,             0.00041194
                      3,                 1.4898,                 1.9231,                 1.6739,                0.68491,                0.67156,                0.72107,                0.35978,                 1.7001,                 1.6859,                 2.0366,             0.00061203,             0.00061203,             0.00061203
                      4,                 1.4534,                 1.6974,                 1.6444,                0.76276,                0.73859,                0.79223,                0.41954,                 1.5619,                 1.4711,                 1.9145,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.4274,                 1.4954,                  1.608,                0.78125,                0.78248,                0.83366,                 0.4564,                  1.516,                 1.2144,                 1.8527,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.3884,                 1.3546,                 1.5784,                0.87526,                0.85351,                0.89943,                0.51636,                 1.4336,                 1.0347,                 1.7507,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.3515,                 1.2827,                 1.5493,                0.86838,                0.85065,                0.89334,                0.48748,                 1.5527,                0.97429,                 1.8417,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.3575,                 1.2227,                 1.5544,                0.88569,                 0.9009,                0.93403,                0.53273,                 1.4796,                0.85938,                 1.7658,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.3099,                 1.1542,                  1.518,                0.92265,                0.86929,                0.93788,                0.54729,                 1.4199,                0.83004,                  1.762,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.2989,                 1.0924,                 1.4935,                0.90163,                0.86391,                0.93678,                0.55246,                  1.409,                0.81617,                 1.7087,             0.00056931,             0.00056931,             0.00056931
